circular_shift_draw,ff_to_iem_beta,iem_to_ff_beta
1,0.4879684797852918,-0.0025200255283491235
2,-1.6291893652312281,-0.019267953803128384
3,0.4222794606942338,0.018622977596738564
4,-0.1778654224460891,-0.03162779205984836
5,0.9120759305782373,0.006545688640470617
6,-0.6915241848245712,-0.029219431722829342
7,-1.937796946299375,-0.0078141082927474
8,-0.22726550152373376,-0.04217446777308531
9,0.0828203738460867,0.024900579799603768
10,0.4578353948425684,0.03764153914380054
11,0.09589404089265716,0.01292875795935868
12,1.274695118033535,-0.00030077100506433266
13,1.49083342747551,0.03147065395641985
14,0.45022379431253223,0.01415645630380524
15,-1.6062530332245455,-0.0031295341628794497
16,-1.17122796190973,-0.002299487898746788
17,-0.0768247576342059,-0.012878775950077475
18,0.7103241523552672,0.010791120291980379
19,0.13430031508994136,-0.021084416054564854
20,0.6829944376956614,0.00664925158287779
21,0.27661232596053187,-0.006075127704476196
22,-0.41983718965843403,-0.027196920103248673
23,-1.2672056924551502,-0.005511054942766262
24,0.26447869852402545,-0.01452137058476837
25,-2.2750035330520997,-0.006127530428207967
26,-1.7827660070108358,-0.007233520583749879
27,1.1873897804104636,0.034357436201595024
28,0.012519738882542764,0.019817400265819265
29,1.0177469686317075,0.01726498509410483
30,0.5408729479482863,0.0021626181026055766
31,-0.347780821195785,-0.021237483885529464
32,-0.02578885987336388,-0.0003131753989931785
33,-1.282759895679412,-0.00836648053906705
34,0.7075499503520195,0.02539174936016823
35,-0.956803830111743,0.014992684755464376
36,-0.632031721303186,-0.029579382681462544
37,-0.1530221975400597,6.650938227319159e-06
38,-0.07096819302954388,-0.03921555842755065
39,-0.36729062413940616,-0.00623166728420546
40,0.07718730455444084,0.022481685396626844
41,0.3234383354508027,0.01825410601611234
42,0.12177494540196027,0.011591612765199892
43,0.20137766312262972,0.030013725613175696
44,1.7362993555595654,0.013598094835840423
45,1.2893324578800154,0.01917398534983788
46,0.9010287393998666,0.022477696559749984
47,1.4168905957781264,0.02632631868234198
48,-2.011931826127728,-0.0048141988472794675
49,-0.429549215630559,-0.012597409902710448
50,-0.5314734549734456,-0.0021119522306142905
51,-1.0610488014627293,0.000850008931373979
52,0.045437276989783615,0.004547865011388484
53,0.5376288642914898,0.0006335303912256285
54,0.907238116129967,0.027015285669615377
55,-0.3804146262813098,-0.035220763580257046
56,-0.2797530137036281,-0.003738393265393672
