permutation,ff_to_iem_beta,iem_to_ff_beta
1,0.3188093352391076,0.008879498651522379
2,0.2924252164002487,-0.026234995058478733
3,-0.8450214384911066,0.006645516031765917
4,-0.3703246550672957,-0.01308485816433283
5,0.6875131327752166,-0.006608744828509726
6,0.12495135027821103,-0.031142283410403496
7,-0.4066714252265494,0.024486030492909105
8,-0.6500958384983874,-0.01190745777036278
9,0.883536552120048,-0.00020071903850337543
10,1.2482316898735513,-0.008067120443985117
11,-0.30749275763677053,0.02585133438839235
12,-1.496962041807822,-0.012328354279928646
13,-0.8144919250070177,0.018206803969429364
14,1.690748415630977,0.00813546182794267
15,-1.236021960187855,0.0049384712673904135
16,-1.1977524248905005,-0.0013675825731174383
17,0.7264368340386074,-0.01522188795619601
18,-1.0924669392391444,0.011202280888356144
19,-1.5301508893894562,-0.01427736020062431
20,-1.2759977566764888,-0.020139598588188784
21,0.20337677364627493,0.002995771550851926
22,0.8460134796760554,-0.006129960974213675
23,0.05384568478605428,-0.029908131975309983
24,0.9551736713466425,0.006468061587242319
25,-1.206139890409423,0.00239285450788059
26,0.7991654680730026,0.012075997952167121
27,-1.0006853391346455,-0.00480048088727432
28,-0.3821519006952504,0.01053201947529493
29,-0.36762637862924463,0.02506580908790457
30,-0.8794417462531702,-0.018931056926403608
31,-0.7624607324271689,-0.0018480451375936088
32,1.0706863475346946,-0.006700297388969558
33,-0.880093698226645,0.017743563072151483
34,-0.042968358945825125,-0.029674435062119198
35,-1.0320018732438179,0.010627345365814667
36,-0.36202002081633666,-0.01330071665852619
37,0.33435852643366937,-0.018329392861113215
38,-0.032820465071795826,0.00434138784583411
39,-0.8141895649529483,-0.01008527346648531
40,0.617667981551859,-0.006595702782145704
41,0.11187219684490288,0.00712393492221557
42,-0.2607423558943175,-0.016874009071356416
43,-1.3450757390160908,0.0122007305264214
44,0.42678115700347785,-0.027007562793227927
45,-1.0565641329551705,-0.003053140813907577
46,1.1646336096562449,-0.0017895702500947798
47,-0.656857864040402,0.0265605607872079
48,-1.4903924090179217,0.020911171895841144
49,-1.050146540349542,-0.03648840512707086
50,-0.8866508867732708,0.005236983954188514
51,0.1159647779357258,-0.016738254318289444
52,1.394714972809077,0.015848470472813972
53,1.1473889725294795,-0.04031174264486987
54,-0.1411990817274244,-0.00016800932448695835
55,0.8860487156643151,-0.00877192834436464
56,0.3698816817529544,0.019505879697218585
57,0.0931404405849991,-0.01169319106664684
58,1.5245489073986875,0.0041076551537643
59,0.12819762873356447,0.003933346882440368
60,0.5811340636788852,-0.04488701395578887
61,-0.8038766452122421,-0.019005866226580428
62,0.43833521641774187,-0.04822380486435999
63,-0.6279590914469227,-0.028463818808547307
64,0.5482962865846246,-0.0053945930131227785
65,0.9934796070795406,0.025611023078371604
66,1.696490283982814,0.03623181946250688
67,-0.44372508799763977,-0.024080468722588205
68,1.3473068626208735,0.0028342735560970504
69,-0.15748739257522626,-0.01977745176613081
70,-1.001626478159364,-0.013651105815684898
71,0.8276117144972915,0.008483492813040405
72,0.7089134656671964,-0.00583781115474929
73,-0.6753388922967739,0.004735257252435314
74,-0.41462633773397267,0.013291384113762818
75,0.4572600904366054,-0.008049672689533589
76,0.5504422120877717,0.0017981236542919177
